Energy Grid,Fitness_1,Fitness_2,Fitness_3
"(3, 6, 7, 9, 13, 21, 87, 90, 124)",0.21683533428011303,0.0252743832761283,0.24208956946302052
"(9, 18, 78, 88, 89, 94, 95, 97, 138)",0.09322501428723906,0.11893830351314261,0.17191521240366592
"(21, 71, 73, 88, 89, 94, 95, 97, 122)",0.1002685787253148,0.20173437720782816,0.1486658031700735
"(3, 9, 13, 21, 71, 73, 88, 89, 122)",0.14476079202051262,0.048973178456504285,0.15186459801578378
"(21, 71, 73, 88, 89, 91, 94, 97, 122)",0.08528207393036746,0.20173067431588698,0.1945153773115711
"(3, 6, 7, 9, 13, 21, 66, 75, 124)",0.28806470511742277,0.02519251825187918,0.24479680116333025
"(3, 6, 7, 9, 13, 21, 71, 74, 124)",0.29506374643263367,0.025294061525013234,0.20930189800884103
"(9, 13, 21, 71, 73, 85, 94, 95, 125)",0.2412754657624201,0.05973228070779857,0.1361752783419109
"(9, 19, 69, 88, 89, 94, 95, 97, 122)",0.1039094015776999,0.11532195651433585,0.16454230628638644
"(9, 19, 70, 73, 88, 89, 94, 95, 130)",0.13208008541659988,0.11534356848498328,0.11218940612949269
"(9, 19, 67, 74, 88, 89, 94, 95, 123)",0.12480676533978718,0.11515873489641748,0.14340224899240317
"(6, 7, 9, 13, 20, 71, 73, 87, 124)",0.26205955751160737,0.035072778848291075,0.18505586483370762
"(6, 7, 9, 13, 21, 70, 74, 94, 95)",0.42228327081460715,0.03309354313982249,0.17007126090300373
"(9, 13, 19, 70, 88, 89, 94, 97, 125)",0.10535417718980988,0.06363786769077284,0.18752220707219525
"(9, 13, 19, 69, 88, 89, 94, 95, 131)",0.14002515150572825,0.06360250344167306,0.14135701481012963
"(3, 9, 13, 21, 71, 73, 94, 95, 125)",0.27273305544352633,0.04890013558076911,0.1371153577474632
"(21, 78, 88, 89, 91, 94, 97, 122, 140)",0.06610577001045848,0.20171237597357916,0.2674659499666787
"(9, 13, 21, 71, 74, 87, 94, 95, 124)",0.217931304094236,0.059724007968598114,0.14469110251302453
"(6, 7, 9, 13, 23, 78, 88, 89, 122)",0.13644047759720002,0.039209014222405414,0.22607048443701427
